,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
2292,Bhootiyapa,-2019.0,0,"Comedy, Horror",6.0,,Manoj Sharma,Krishna Abhishek,Mithun Chakraborty,Tanaji Galgunde,Manoj Sharma Krishna Abhishek Mithun Chakraborty Tanaji Galgunde
2293,Bhootnath,-2008.0,150,"Comedy, Drama, Family",6.3,"8,460",Vivek Sharma,Amitabh Bachchan,Juhi Chawla,Satish Shah,Vivek Sharma Amitabh Bachchan Juhi Chawla Satish Shah
2294,Bhootnath,-1963.0,129,Adventure,6.5,60,Nanabhai Bhatt,Mohan Choti,Vijaya Choudhury,Rajan Haksar,Nanabhai Bhatt Mohan Choti Vijaya Choudhury Rajan Haksar
2295,Bhootni,-2000.0,0,Horror,2.4,5,Israr Ahmed,Kiran Kumar,Johnny Lever,Raza Murad,Israr Ahmed Kiran Kumar Johnny Lever Raza Murad
2296,Bhooton Ka Honeymoon,-2001.0,0,Horror,6.0,,Shaheen Khan,Mac Mohan,Pramod Moutho,Raza Murad,Shaheen Khan Mac Mohan Pramod Moutho Raza Murad
2297,Bhooton Ka Mahal,-2000.0,0,Horror,6.0,,Ambika,Anuradha,Karthik,,Ambika Anuradha Karthik 
2298,Bhootwali Love Story,-2018.0,109,Comedy,6.0,,Shantanu Anant Tambe,Tushar Acharya,Kanchan Awasthi,Laxman Dawbhat,Shantanu Anant Tambe Tushar Acharya Kanchan Awasthi Laxman Dawbhat
2299,Bhopal Express,-1999.0,100,Drama,7.1,367,Mahesh Mathai,Kay Kay Menon,Nethra Raghuraman,Zeenat Aman,Mahesh Mathai Kay Kay Menon Nethra Raghuraman Zeenat Aman
2300,Bhopal: A Prayer for Rain,-2014.0,96,Drama,7.2,"1,968",Ravi Kumar,Martin Sheen,Mischa Barton,Kal Penn,Ravi Kumar Martin Sheen Mischa Barton Kal Penn
2301,Bhopali,-2011.0,89,"Documentary, History, News",8.0,58,Van Maximilian Carlson,Saiba Babu,Salam Babu,Rashida Bee,Van Maximilian Carlson Saiba Babu Salam Babu Rashida Bee
2302,Bhor: Dawn,-2018.0,93,Drama,7.8,147,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel,Kamakhya Narayan Singh Devesh Ranjan Saveree Gaur Nalneesh Neel
2303,Bhouri,-2016.0,140,Drama,6.7,403,Jasbir Bijender Bhati,Raghuvir Yadav,Masha Pour,Kunickaa Sadanand,Jasbir Bijender Bhati Raghuvir Yadav Masha Pour Kunickaa Sadanand
2304,Bhram: An Illusion,-2008.0,0,"Drama, Mystery, Romance",4.0,113,Pavan Kaul,Dino Morea,Milind Soman,Sheetal Menon,Pavan Kaul Dino Morea Milind Soman Sheetal Menon
2305,Bhrashtachar,-1989.0,153,"Action, Crime, Drama",4.6,119,Ramesh Sippy,Rekha,Mithun Chakraborty,Anupam Kher,Ramesh Sippy Rekha Mithun Chakraborty Anupam Kher
2306,Bhu Mafia,-2018.0,0,Drama,6.0,,Sanjay Srivastav,Ramesh Yadav,Devdutt Budholiya,Mohini Gupta,Sanjay Srivastav Ramesh Yadav Devdutt Budholiya Mohini Gupta
2307,Bhuchaal,-1993.0,0,Action,6.0,,Rakesh Kashyap,Puneet Issar,Bharat Kapoor,Daboo Malik,Rakesh Kashyap Puneet Issar Bharat Kapoor Daboo Malik
2308,Bhuddah Hoga Tera Baap,-2011.0,114,"Action, Comedy, Crime",5.6,"2,782",Puri Jagannadh,Amitabh Bachchan,Hema Malini,Sonu Sood,Puri Jagannadh Amitabh Bachchan Hema Malini Sonu Sood
2309,Bhuj: The Pride of India,-2021.0,0,"Action, Drama, History",6.0,,Abhishek Dudhaiya,Sharad Kelkar,Ajay Devgn,Parineeti Chopra,Abhishek Dudhaiya Sharad Kelkar Ajay Devgn Parineeti Chopra
2310,Bhula Na Dena,-1981.0,0,"Drama, Family",6.0,,Harsh Kohli,Kaajal Kiran,Helen,Sujit Kumar,Harsh Kohli Kaajal Kiran Helen Sujit Kumar
2311,Bhulaye Na Bane,-1985.0,0,Romance,6.0,,Virendra Sharma,Madan Jain,Natasha Sinha,,Virendra Sharma Madan Jain Natasha Sinha 
2312,Bhule Bhatke,-1952.0,0,"Comedy, Fantasy",6.0,,Brij,Brijmohan,Master Bhagwan,Baburao Pahelwan,Brij Brijmohan Master Bhagwan Baburao Pahelwan
2313,Bhumi,-2016.0,120,Drama,6.0,,Mohd Feroz Qureshi,Adeeth Bhandarre,Mantosh Kumar,Esha Pathak,Mohd Feroz Qureshi Adeeth Bhandarre Mantosh Kumar Esha Pathak
2314,Bhumika,-1977.0,142,Drama,7.4,585,Shyam Benegal,Smita Patil,Anant Nag,Naseeruddin Shah,Shyam Benegal Smita Patil Anant Nag Naseeruddin Shah
2315,Bhunsaara,-2010.0,77,"Drama, Romance",6.0,,,,,,   
2316,Bhutio Mahal,-1932.0,0,,6.0,,Jayant Desai,Keki Adajania,Dinshaw Bilimoria,Dixit,Jayant Desai Keki Adajania Dinshaw Bilimoria Dixit
2317,Bhuvan Shome,-1969.0,96,"Comedy, Drama",7.5,400,Mrinal Sen,Utpal Dutt,Suhasini Mulay,Shekhar Chatterjee,Mrinal Sen Utpal Dutt Suhasini Mulay Shekhar Chatterjee
2318,Bichar,-1943.0,0,Drama,6.0,,Nitin Bose,Maya Banerjee,Dilip Bose,Leela Desai,Nitin Bose Maya Banerjee Dilip Bose Leela Desai
2319,Bichchade Balam,-1948.0,0,,6.0,,Manibhai Vyas,Khurshid Jr.,Anjum,Meena Kumari,Manibhai Vyas Khurshid Jr. Anjum Meena Kumari
2320,Bichhoo,-2000.0,160,"Action, Crime, Drama",5.0,"2,807",Guddu Dhanoa,Bobby Deol,Rani Mukerji,Ashish Vidyarthi,Guddu Dhanoa Bobby Deol Rani Mukerji Ashish Vidyarthi
2321,Bidaai,-1974.0,144,"Drama, Musical, Romance",6.5,54,L.V. Prasad,Jeetendra,Leena Chandavarkar,Durga Khote,L.V. Prasad Jeetendra Leena Chandavarkar Durga Khote
2322,Bidi Bakda,-2021.0,0,Drama,6.0,,Gajendra Ahire,Seema Biswas,Eshika Dey,Govind Namdeo,Gajendra Ahire Seema Biswas Eshika Dey Govind Namdeo
2323,Bidrohi,-1935.0,0,,6.0,,Dhirendranath Ganguly,Ahindra Choudhury,Jyotsna Gupta,Indubala,Dhirendranath Ganguly Ahindra Choudhury Jyotsna Gupta Indubala
2324,Bidyapati,-1937.0,141,Drama,7.0,23,Debaki Bose,Pahadi Sanyal,Durgadas Bannerjee,Chhayadevi,Debaki Bose Pahadi Sanyal Durgadas Bannerjee Chhayadevi
2325,Big Brother,-2007.0,128,"Action, Crime, Drama",3.8,781,Guddu Dhanoa,Sunny Deol,Priyanka Chopra Jonas,Vikas Anand,Guddu Dhanoa Sunny Deol Priyanka Chopra Jonas Vikas Anand
2326,Bigde Dil,-1949.0,0,,6.0,,A.M. Khan,Master Bhagwan,,,A.M. Khan Master Bhagwan  
2327,Bihar Ke Darshaniya Sthan,-1955.0,0,Documentary,6.0,,Ritwik Ghatak,,,,Ritwik Ghatak   
2328,Biharflood Madad Ek Sahyog,-2017.0,0,Documentary,6.0,,Manis Gupta,Ranjan Mistry,,,Manis Gupta Ranjan Mistry  
2329,Bihari Gunda,-1987.0,0,Action,5.0,6,S.P. Muthuraman,Raghuvaran,Rajinikanth,Roobini,S.P. Muthuraman Raghuvaran Rajinikanth Roobini
2330,Biharism,-2013.0,0,Drama,6.0,,,,,,   
2331,Bijili Aur Toofan,-1988.0,0,Action,6.0,,Sadashiv Amrapurkar,Hemant Birje,Sonika Gill,Satish Kaul,Sadashiv Amrapurkar Hemant Birje Sonika Gill Satish Kaul
2332,Bijlee,-2000.0,116,Action,6.0,,Ramesh U. Lakhiani,Kiran Kumar,Deepak Shirke,Shehzad Khan,Ramesh U. Lakhiani Kiran Kumar Deepak Shirke Shehzad Khan
2333,Bijlee Aur Badal,-1991.0,0,Action,6.0,,Rakesh Bedi,Sunil Dhawan,Goga Kapoor,Shakti Kapoor,Rakesh Bedi Sunil Dhawan Goga Kapoor Shakti Kapoor
2334,Bijli,-1939.0,0,,6.0,,Balwant Bhatt,Gulab,Pramila,,Balwant Bhatt Gulab Pramila 
2335,Bijli,-1972.0,0,Drama,6.0,,Rajan Haksar,Dinesh Hingoo,Hiralal,Dheeraj Kumar,Rajan Haksar Dinesh Hingoo Hiralal Dheeraj Kumar
2336,Bijli Chamke Jamna Paar,-1962.0,0,"Action, Drama",6.0,,Jaswant Jhaveri,Dhumal,Paidi Jairaj,Raj Kishore,Jaswant Jhaveri Dhumal Paidi Jairaj Raj Kishore
2337,Bijuka,-2012.0,74,Drama,6.4,22,Ashtar Sayed,Arti Rautela,Amit Purohit,Janardhan Mishra,Ashtar Sayed Arti Rautela Amit Purohit Janardhan Mishra
2338,Bikhare Moti,-1971.0,0,"Action, Drama, Romance",3.6,13,Tapi Chanakya,Jeetendra,Babita Kapoor,Sujit Kumar,Tapi Chanakya Jeetendra Babita Kapoor Sujit Kumar
2339,Bikhare Moti,-1935.0,0,,6.0,,Kamlabai Gokhale,,,,Kamlabai Gokhale   
2340,Bikhare Moti,-1951.0,0,,6.0,,S.M. Yusuf,Jayant,Jeevan,Kamini Kaushal,S.M. Yusuf Jayant Jeevan Kamini Kaushal
2341,Bikroo Kanpur Gangster,-2021.0,0,Crime,6.0,,Neeraj Singh,Shraddha Srivastava,Nimai Bali,Anil Rastogi,Neeraj Singh Shraddha Srivastava Nimai Bali Anil Rastogi
2342,Bilal,-2008.0,92,Documentary,7.1,36,Sourav Sarangi,,,,Sourav Sarangi   
2343,Billa,-1989.0,0,"Action, Comedy, Crime",6.6,19,Raja,Jai Ganesh,Goundamani,Jaishankar,Raja Jai Ganesh Goundamani Jaishankar
2344,Billa No. 786,-2000.0,140,Action,4.4,34,Imran Khalid,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,Imran Khalid Mithun Chakraborty Gajendra Chauhan Siddharth Dhawan
2345,Billa Ranga,-1982.0,113,"Action, Crime, Family",7.5,53,K.S.R. Das,Chiranjeevi,Mohan Babu,Radhika Sarathkumar,K.S.R. Das Chiranjeevi Mohan Babu Radhika Sarathkumar
2346,Billa Ranga Baashaa,-1991.0,0,"Action, Adventure, Fantasy",6.0,,Anup Bhandari,Sudeep,,,Anup Bhandari Sudeep  
2347,Billi,-1938.0,0,,6.0,,Jayant Desai,,,,Jayant Desai   
2348,Billi,-1949.0,0,Action,6.0,,Nari Ghadiali,Fearless Nadia,John Cawas,Vitha,Nari Ghadiali Fearless Nadia John Cawas Vitha
2349,Billi: The Wild Cat,-2006.0,0,Crime,6.0,,Tilak,Mamta Chauhan,Arun Verma,Tina Sequeira,Tilak Mamta Chauhan Arun Verma Tina Sequeira
2350,Billoo Baadshah,-1989.0,148,"Action, Crime, Drama",4.5,41,Sisir Misra,Shatrughan Sinha,Anita Raj,Govinda,Sisir Misra Shatrughan Sinha Anita Raj Govinda
2351,Billu,-2009.0,137,"Comedy, Drama",6.2,"11,078",Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri,Priyadarshan Irrfan Khan Lara Dutta Om Puri
2352,Billu Ustaad,-2018.0,138,Drama,6.9,26,Suvahhdan Angre,Neel Bakshi,Sneha Arun,Abhishek Bardia,Suvahhdan Angre Neel Bakshi Sneha Arun Abhishek Bardia
2353,Bilwamangal,-1954.0,0,"Drama, Fantasy",6.0,,D.N. Madhok,Ulhas,Suraiya,Asha Mathur,D.N. Madhok Ulhas Suraiya Asha Mathur
2354,Bilwamangal,-1932.0,0,,6.0,,Patience Cooper,Mohammad Isaq,Abdul Rehman Kabuli,Jehanara Kajjan,Patience Cooper Mohammad Isaq Abdul Rehman Kabuli Jehanara Kajjan
2355,Bin Baap Ka Beta,-1979.0,0,Comedy,6.0,,Master Bhagwan,Birbal,Mohan Choti,Dhumal,Master Bhagwan Birbal Mohan Choti Dhumal
2356,Bin Badal Barsaat,-1963.0,154,"Drama, Musical, Mystery",5.7,31,Jyoti Swaroop,Asha Parekh,Biswajit Chatterjee,Nishi,Jyoti Swaroop Asha Parekh Biswajit Chatterjee Nishi
2357,Bin Bulaye Baraati,-2011.0,133,"Action, Comedy, Crime",3.8,255,Chandrakant Singh,Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj,Chandrakant Singh Naushaad Abbas Rati Agnihotri Shweta Bhardwaj
2358,Bin Maa Ke Bachche,-1980.0,131,Drama,6.0,17,Satyen Bose,Bindu,Leela Chitnis,Raju Desai,Satyen Bose Bindu Leela Chitnis Raju Desai
2359,Bin Phere Free Me Tere,-2013.0,131,Comedy,4.5,22,Manoj Sharma,Ashrita Agarwal,Arsh Deol,Manoj Joshi,Manoj Sharma Ashrita Agarwal Arsh Deol Manoj Joshi
2360,Bin Phere Hum Tere,-1979.0,0,"Drama, Family",6.7,25,Rajat Rakshit,Asha Parekh,Vinod Mehra,Sarika,Rajat Rakshit Asha Parekh Vinod Mehra Sarika
2361,Bindhaast,-1999.0,0,"Adventure, Mystery, Thriller",7.0,148,Chandrakant Kulkarni,Gautami Kapoor,Sharvari Jamenis,Reema Lagoo,Chandrakant Kulkarni Gautami Kapoor Sharvari Jamenis Reema Lagoo
2362,Bindiya,-1946.0,0,,6.0,,Chimanlal Luhar,Leela Mishra,Ragni,Kamal Zamindar,Chimanlal Luhar Leela Mishra Ragni Kamal Zamindar
2363,Bindiya,-1955.0,0,"Drama, Family",6.0,,Shamim Bhagat,Shekhar,Sulochana Latkar,Kumkum,Shamim Bhagat Shekhar Sulochana Latkar Kumkum
2364,Bindiya,-1978.0,0,Romance,6.0,,,,,,   
2365,Bindiya Aur Bandook,-1972.0,0,Action,2.8,10,Shibu Mitra,Kiran Kumar,Asha Sachdev,Laxmi Chhaya,Shibu Mitra Kiran Kumar Asha Sachdev Laxmi Chhaya
2366,Bindiya Aur Bandook Part II,-2003.0,139,Action,6.0,,Joginder Shelly,Poonam Dasgupta,Dinesh Hingoo,Mohan Joshi,Joginder Shelly Poonam Dasgupta Dinesh Hingoo Mohan Joshi
2367,Bindiya Chamkegi,-1984.0,139,"Comedy, Family",5.1,18,Tarun Dutt,Rekha,Vinod Mehra,Johnny Walker,Tarun Dutt Rekha Vinod Mehra Johnny Walker
2368,Bindiya Mange Bandook,-2001.0,115,Action,3.9,8,Sanju K. Gupta,Joginder Shelly,Pinky Chinoy,Mohan Joshi,Sanju K. Gupta Joginder Shelly Pinky Chinoy Mohan Joshi
2369,Bindya,-1960.0,0,Drama,5.7,12,R. Krishnan,S. Panju,Padmini,Balraj Sahni,R. Krishnan S. Panju Padmini Balraj Sahni
2370,Bioscopewala,-2017.0,91,Drama,7.6,882,Deb Medhekar,Danny Denzongpa,Geetanjali Thapa,Adil Hussain,Deb Medhekar Danny Denzongpa Geetanjali Thapa Adil Hussain
2371,Bipasha: The Black Beauty,-2006.0,0,Thriller,6.0,,Shailendra Singh Rajput,Needhi Gill,Razak Khan,Veer Lalwani,Shailendra Singh Rajput Needhi Gill Razak Khan Veer Lalwani
2372,Biradari,-1966.0,139,Drama,5.9,33,Ram Kamlani,Shashi Kapoor,Faryal,Pran,Ram Kamlani Shashi Kapoor Faryal Pran
2373,Biraj Bahu,-1954.0,145,Drama,6.2,51,Bimal Roy,Kamini Kaushal,Abhi Bhattacharya,Shakuntala,Bimal Roy Kamini Kaushal Abhi Bhattacharya Shakuntala
2374,Birbal Ki Beti,-1935.0,0,,6.0,,Nanubhai Vakil,Zubeida,Hadi,Gulab,Nanubhai Vakil Zubeida Hadi Gulab
2375,Birbal My Brother,-1973.0,105,Drama,6.0,,Rajat Bapat,Satish Dubhashi,Lilian,Gulab Mokasi,Rajat Bapat Satish Dubhashi Lilian Gulab Mokasi
2376,Bird Idol,-2010.0,100,Animation,4.3,7,Jyotin Goel,,,,Jyotin Goel   
2377,Birha,-2018.0,81,Documentary,6.0,,Ekta Mittal,,,,Ekta Mittal   
2378,Birha Ki Raat,-1950.0,0,"Drama, Romance",7.1,15,Gajanan Jagirdar,Dev Anand,Nargis,,Gajanan Jagirdar Dev Anand Nargis 
2379,Birhan,-1948.0,0,,6.0,,Cuckoo,Shanti Modak,Begum Parveen,Pran,Cuckoo Shanti Modak Begum Parveen Pran
2380,Birjoo,-1993.0,0,Action,6.0,,Qamar Narvi,Beena Banerjee,Kanchan,Raj Kiran,Qamar Narvi Beena Banerjee Kanchan Raj Kiran
2381,Birju Maharaj,-1972.0,0,Documentary,6.0,,Chidananda Das Gupta,,,,Chidananda Das Gupta   
2382,Birju Ustad,-1964.0,0,Action,6.0,,Ajit,Chandrashekhar,Vijaya Choudhury,Sheikh Mukhtar,Ajit Chandrashekhar Vijaya Choudhury Sheikh Mukhtar
2383,Birsa Munda - The black Iron Man,-2004.0,120,History,6.0,,Rajesh Mittal,Biswajit Chatterjee,Ali Khan,Anil Nagrath,Rajesh Mittal Biswajit Chatterjee Ali Khan Anil Nagrath
2384,Birthday,-1965.0,0,,6.0,,Phani Majumdar,,,,Phani Majumdar   
2385,Bishwa,-2020.0,0,Drama,6.0,,Anuj Tyagi,Vinay Pathak,Usha Jadhav,Sharib Hashmi,Anuj Tyagi Vinay Pathak Usha Jadhav Sharib Hashmi
2386,Bismil Ki Arzoo,-1937.0,0,,6.0,,B.S. Hijle,Sardar Akhtar,Nurjahan,,B.S. Hijle Sardar Akhtar Nurjahan 
2387,Bismillah Ki Barkat,-1983.0,0,Drama,5.8,5,K Sharif,Tariq,Sona Mastan Mirza,Meena T.,K Sharif Tariq Sona Mastan Mirza Meena T.
2388,Bistar,-1986.0,127,Drama,6.0,,Arun Govil,Jankidas,Mehmood Jr.,Yunus Parvez,Arun Govil Jankidas Mehmood Jr. Yunus Parvez
2389,Bistar,-2001.0,0,Thriller,6.0,,Kishan Shah,Birbal,Hemant Birje,Poonam Dasgupta,Kishan Shah Birbal Hemant Birje Poonam Dasgupta
2390,Bisvi Sadi,-1945.0,0,,6.0,,Mohan Dayaram Bhavnani,Motilal,Nargis,Mazhar Khan,Mohan Dayaram Bhavnani Motilal Nargis Mazhar Khan
2391,Bitch,-2017.0,82,"Adventure, Comedy, Drama",5.5,11,Csaba Bene Perlenberg,Amanda Ooms,Lars-Erik Berenett,Anders Granström,Csaba Bene Perlenberg Amanda Ooms Lars-Erik Berenett Anders Granström
2392,Bitiya Sada Suhaghan Rah,-2014.0,0,Family,6.0,,Kritn Ajitesh,,,,Kritn Ajitesh   
2393,Bitter Chestnut,-2019.0,100,Drama,7.1,27,Gurvinder Singh,Bhankheri Devi,Rani Devi,Gopi Katwal,Gurvinder Singh Bhankheri Devi Rani Devi Gopi Katwal
2394,Bittoo Boss,-2012.0,116,Romance,4.1,365,Supavitra Babul,Pulkit Samrat,Rajesh Bakshi,Ujjwal Chopra,Supavitra Babul Pulkit Samrat Rajesh Bakshi Ujjwal Chopra
2395,Biwi,-1950.0,0,"Drama, Family",6.0,,Kishore Sharma,Al Nasir,Pran,Mumtaz Shanti,Kishore Sharma Al Nasir Pran Mumtaz Shanti
2396,Biwi Anari Saali Khiladi,-2002.0,0,Thriller,6.0,,Raj Kamal,Haider Kazmi,Mushtaq Khan,Roshni,Raj Kamal Haider Kazmi Mushtaq Khan Roshni
2397,Biwi Aur Makan,-1966.0,126,Comedy,6.9,45,Hrishikesh Mukherjee,Biswajit Chatterjee,Mehmood,Shabnam,Hrishikesh Mukherjee Biswajit Chatterjee Mehmood Shabnam
2398,Biwi aur Padosan,-2001.0,0,Thriller,6.0,,Laxmikant Berde,Bindu Kamat,Razak Khan,Dharmendra Rana,Laxmikant Berde Bindu Kamat Razak Khan Dharmendra Rana
2399,Biwi Aur Sali,-2002.0,0,Thriller,6.0,,Bhaskar,Pratap Chandra,Devan,,Bhaskar Pratap Chandra Devan 
2400,Biwi Ho To Aisi,-1988.0,149,"Comedy, Drama",5.8,857,J.K. Bihari,Rekha,Farooq Shaikh,Bindu,J.K. Bihari Rekha Farooq Shaikh Bindu
2401,Biwi Jawan Miyan Pareshaan,-2000.0,0,Comedy,6.0,,Usman Khan,Tina Ghai,Balli Grover,Raju Srivastava,Usman Khan Tina Ghai Balli Grover Raju Srivastava
2402,Biwi Ka Pyar,-2001.0,0,Thriller,6.0,,Shakeela,,,,Shakeela   
2403,Biwi Ka Yaar,-2001.0,0,Thriller,6.0,,,,,,   
2404,Biwi Ki Saheli,-2003.0,0,Thriller,6.0,,,,,,   
2405,Biwi Kiraya Ki,-1975.0,0,"Comedy, Drama",6.0,,Ajit Kumar,Sona Mastan Mirza,Indra Kumar,Jagdeep,Ajit Kumar Sona Mastan Mirza Indra Kumar Jagdeep
2406,Biwi Kiraye Ki,-2003.0,0,Thriller,6.0,,Shakeela,,,,Shakeela   
2407,Biwi No. 1,-1999.0,159,"Comedy, Drama, Romance",5.7,"5,464",David Dhawan,Karisma Kapoor,Salman Khan,Anil Kapoor,David Dhawan Karisma Kapoor Salman Khan Anil Kapoor
2408,Biwi No. 2,-2000.0,0,Romance,5.7,63,Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal,Satyanarayana Nagarjuna Akkineni Tabu Heera Rajgopal
2409,Biwi Tumhari Bachche Hamare,-2004.0,0,Thriller,6.0,,,,,,   
2410,Biwi-O-Biwi,-1981.0,156,"Comedy, Romance",7.0,206,Rahul Rawail,Sanjeev Kumar,Randhir Kapoor,Poonam Dhillon,Rahul Rawail Sanjeev Kumar Randhir Kapoor Poonam Dhillon
2411,Black,-2005.0,122,Drama,8.2,"33,782",Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Sanjay Leela Bhansali Amitabh Bachchan Rani Mukerji Shernaz Patel
2412,Black & White,-2015.0,50,Drama,6.0,,Kkunal Shinde,Akansha,Samruddhi Menge,Ekta Patil,Kkunal Shinde Akansha Samruddhi Menge Ekta Patil
2413,Black & White,-2008.0,134,"Crime, Drama, Thriller",6.2,570,Subhash Ghai,Anil Kapoor,Anurag Sinha,Shefali Shah,Subhash Ghai Anil Kapoor Anurag Sinha Shefali Shah
2414,Black and White,-1946.0,0,"Action, Comedy",6.0,,S.M. Raza,John Cawas,Baburao Pahelwan,Kumari Kusum,S.M. Raza John Cawas Baburao Pahelwan Kumari Kusum
2415,Black and White,-2011.0,0,Action,6.0,,Rajeev Kanakala,Jackie Shroff,Sindhu Tolani,,Rajeev Kanakala Jackie Shroff Sindhu Tolani 
2416,Black Arrow,-1965.0,0,"Action, Drama",6.0,,Hameeda Bano,Khurshid Bawra,Hercules,Nazir Kashmiri,Hameeda Bano Khurshid Bawra Hercules Nazir Kashmiri
2417,Black Bud,-1991.0,92,"Crime, Drama, Thriller",6.0,,Amol Kale,Asif Basra,Vipin Sharma,Atul Kulkarni,Amol Kale Asif Basra Vipin Sharma Atul Kulkarni
2418,Black Cat,-1959.0,154,"Action, Thriller, Mystery",6.7,25,Nisar Ahmad Ansari,Balraj Sahni,Minoo Mumtaz,Johnny Walker,Nisar Ahmad Ansari Balraj Sahni Minoo Mumtaz Johnny Walker
2419,Black Cobra,-1981.0,0,"Action, Adventure, Crime",4.9,26,K.S.R. Das,Kavitha,Padma Khanna,Pandharibai,K.S.R. Das Kavitha Padma Khanna Pandharibai
2420,Black Coffee,-2021.0,0,Drama,6.0,,Hemant Verma,Suhasini Mulay,Virendra Saxena,,Hemant Verma Suhasini Mulay Virendra Saxena 
2421,Black Commando,-1994.0,0,Action,6.0,,Rajiv Anjal,Suresh Gopi,Priya Raman,Tej Sapru,Rajiv Anjal Suresh Gopi Priya Raman Tej Sapru
2422,Black Currency,-1991.0,0,Action,6.0,,Sanjay Sharma,Nawazuddin Siddiqui,Zeenat Aman,Rajat Kapoor,Sanjay Sharma Nawazuddin Siddiqui Zeenat Aman Rajat Kapoor
2423,Black Currency: The Fake Currency Truth Unfolds,-1991.0,0,Drama,6.0,,Sanjay Sharma,Nawazuddin Siddiqui,Zeenat Aman,Vivek Oberoi,Sanjay Sharma Nawazuddin Siddiqui Zeenat Aman Vivek Oberoi
2424,Black Friday,-2004.0,143,"Action, Crime, Drama",8.5,"19,493",Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav,Anurag Kashyap Kay Kay Menon Pawan Malhotra Aditya Srivastav
2425,Black Future,-1991.0,0,Action,6.0,,Dhruv,Satya,Shishir,Dharmendra,Dhruv Satya Shishir Dharmendra
2426,Black Home,-2015.0,105,"Drama, Thriller",7.4,23,Ashish Deo,Ashutosh Rana,Chitrashi Rawat,Murli Sharma,Ashish Deo Ashutosh Rana Chitrashi Rawat Murli Sharma
2427,Black Is Beautiful,-2016.0,90,Documentary,6.0,,Deepak Sharma,,,,Deepak Sharma   
2428,Black Market,-1947.0,0,"Action, Thriller",6.0,,S.H. Tharani,Dulari,Dilawar,Habib,S.H. Tharani Dulari Dilawar Habib
2429,Black Market,-2021.0,131,Action,6.0,,Arjun Raaj,Attin Bhalla,Milind Gunaji,Mohan Joshi,Arjun Raaj Attin Bhalla Milind Gunaji Mohan Joshi
2430,Black Mountain,-1971.0,83,"Drama, Family, Fantasy",6.6,24,M.S. Sathyu,Aleksandr Zguridi,Reshama Pasha,Prince Pradeep,M.S. Sathyu Aleksandr Zguridi Reshama Pasha Prince Pradeep
2431,Black Out,-1942.0,0,,6.0,,Nari Ghadiali,Benjamin,Shobha,Sardar,Nari Ghadiali Benjamin Shobha Sardar
2432,Black Poster,-2015.0,0,Thriller,6.0,,Karann Rajpoot,Zakir Hussain,Sheetal Kale,Sharon Lamare,Karann Rajpoot Zakir Hussain Sheetal Kale Sharon Lamare
2433,Black Prince,-1960.0,0,Action,6.0,,,,,,   
2434,Black Rider,-1960.0,0,"Action, Drama",6.0,,Mehmood Khan,Kamran,Krishna Kumari,Habib,Mehmood Khan Kamran Krishna Kumari Habib
2435,Black Rose,-2021.0,0,Thriller,5.0,46,Hemant N Mishra,Samiksha Bhatnagar,Abhilash Narain,Sanjana Shukla,Hemant N Mishra Samiksha Bhatnagar Abhilash Narain Sanjana Shukla
2436,Black Rose,-2020.0,120,Thriller,8.6,38,Hemant N Mishra,Samiksha Bhatnagar,Rahul Chawla,Abhilash Dada,Hemant N Mishra Samiksha Bhatnagar Rahul Chawla Abhilash Dada
2437,Black Shadow,-1961.0,0,Action,6.0,,Madan Mohan Mehra,Amarnath,Manher Desai,Nishi,Madan Mohan Mehra Amarnath Manher Desai Nishi
2438,Black Tiger,-1960.0,0,Action,6.0,,Habib,Azaad Irani,Arvind Kumar,Nadira,Habib Azaad Irani Arvind Kumar Nadira
2439,Black Yellow,-2019.0,72,"Comedy, Crime, Drama",6.0,,Paresh Patel,Akshay Bhagat,Paresh Patel,Anagha Priolkar,Paresh Patel Akshay Bhagat Paresh Patel Anagha Priolkar
2440,Blackboard vs Whiteboard,-2019.0,152,"Action, Family",5.4,43,Tarun s Bisht,Dharmendra,Alismita Goswami,Pankaj Jha,Tarun s Bisht Dharmendra Alismita Goswami Pankaj Jha
2441,Blackgold,-1991.0,0,Crime,6.0,,Riingo Banerjee,,,,Riingo Banerjee   
2442,Blackmail,-1973.0,145,"Drama, Musical, Romance",6.7,199,Vijay Anand,Dharmendra,Rakhee Gulzar,Shatrughan Sinha,Vijay Anand Dharmendra Rakhee Gulzar Shatrughan Sinha
2443,Blackmail,-2005.0,126,"Action, Drama, Thriller",4.1,618,Anil Devgan,Ajay Devgn,Sunil Shetty,Priyanka Chopra Jonas,Anil Devgan Ajay Devgn Sunil Shetty Priyanka Chopra Jonas
2444,Blackmail,-2018.0,138,"Comedy, Thriller",7.1,"9,671",Abhinay Deo,Irrfan Khan,Kirti Kulhari,Urmila Matondkar,Abhinay Deo Irrfan Khan Kirti Kulhari Urmila Matondkar
