,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
12054,Rustom Sohrab,-1967.0,144,"Action, Adventure, Drama",6.2,23,Vishram Bedekar,Prithviraj Kapoor,Suraiya,Prem Nath,Vishram Bedekar Prithviraj Kapoor Suraiya Prem Nath
12055,Rustom-E-Baghdad,-1963.0,0,"Action, Adventure",5.8,6,B.J. Patel,Dara Singh,Chandrashekhar,Vijaya Choudhury,B.J. Patel Dara Singh Chandrashekhar Vijaya Choudhury
12056,Rustom-E-Hind,-1965.0,135,,6.8,12,Kedar Kapoor,Mumtaz,Dara Singh,Bihari,Kedar Kapoor Mumtaz Dara Singh Bihari
12057,Rustom-E-Rome,-1964.0,106,"Action, Adventure, Drama",6.4,5,Radhakant,Dara Singh,Azaad Irani,Vijaya Choudhury,Radhakant Dara Singh Azaad Irani Vijaya Choudhury
12058,Rusvai,-1985.0,0,Musical,6.0,,Rajat Rakshit,Sanjeev Kumar,Raj Babbar,Moushumi Chatterjee,Rajat Rakshit Sanjeev Kumar Raj Babbar Moushumi Chatterjee
12059,Rut Rangeeli Ayee,-1972.0,0,"Action, Crime, Drama",6.0,,M.M. Pushkaran,Bari,Bharat Bhushan,Brahmachari,M.M. Pushkaran Bari Bharat Bhushan Brahmachari
12060,S P Teja,-1992.0,0,Action,6.0,,Sri Ram Kumar,Sri Ram Kumar,Kushboo,Jaya Prada,Sri Ram Kumar Sri Ram Kumar Kushboo Jaya Prada
12061,S the Film,-2012.0,0,Horror,6.0,,Devang Dholakia,,,,Devang Dholakia   
12062,S. P. Parasuram,-1994.0,140,"Action, Drama",5.7,98,Ravi Raja Pinisetty,Chiranjeevi,Sridevi,Harish,Ravi Raja Pinisetty Chiranjeevi Sridevi Harish
12063,S.O.S Jasoos 007,-1969.0,0,Thriller,6.0,,Dhumal,Dinesh Hingoo,Shyam Irani,Prem Kumar,Dhumal Dinesh Hingoo Shyam Irani Prem Kumar
12064,S.P. Chauhan,-2019.0,136,Drama,5.4,348,Manoj K. Jha,Jimmy Sheirgill,Yuvika Chaudhary,Yashpal Sharma,Manoj K. Jha Jimmy Sheirgill Yuvika Chaudhary Yashpal Sharma
12065,S.R.K.,-2009.0,0,Comedy,7.2,21,Ajoy Varma,Manoj Joshi,Vinay Pathak,Dilip Prabhavalkar,Ajoy Varma Manoj Joshi Vinay Pathak Dilip Prabhavalkar
12066,Saadgi,-2019.0,75,Family,6.0,,Dinesh Chaudhary,Monu Dhankad,Uttar Kumar,,Dinesh Chaudhary Monu Dhankad Uttar Kumar 
12067,Saagar,-1985.0,186,"Drama, Romance",7.1,919,Ramesh Sippy,Rishi Kapoor,Kamal Haasan,Dimple Kapadia,Ramesh Sippy Rishi Kapoor Kamal Haasan Dimple Kapadia
12068,Saagar,-1951.0,0,Romance,6.0,,Paidi Jairaj,Bharat Bhushan,Nargis,K.N. Singh,Paidi Jairaj Bharat Bhushan Nargis K.N. Singh
12069,Saagari,-2005.0,0,Romance,6.0,,,,,,   
12070,Saahas,-1979.0,0,Thriller,6.0,,,,,,   
12071,Saaheb,-1985.0,150,Drama,7.2,474,Anil Ganguly,Rakhee Gulzar,Anil Kapoor,Amrita Singh,Anil Ganguly Rakhee Gulzar Anil Kapoor Amrita Singh
12072,Saahil,-1988.0,0,Drama,6.0,,,,,,   
12073,Saajan,-1991.0,181,"Drama, Musical, Romance",7.2,"6,267",Lawrence D'Souza,Sanjay Dutt,Madhuri Dixit,Salman Khan,Lawrence D'Souza Sanjay Dutt Madhuri Dixit Salman Khan
12074,Saajan,-1947.0,0,Romance,6.0,,Kishore Sahu,Ashok Kumar,Rehana,Leela Mishra,Kishore Sahu Ashok Kumar Rehana Leela Mishra
12075,Saajan Bina Suhagan,-1978.0,121,"Crime, Drama, Family",6.4,42,Saawan Kumar Tak,Nutan,Vinod Mehra,Shreeram Lagoo,Saawan Kumar Tak Nutan Vinod Mehra Shreeram Lagoo
12076,Saajan Chale Sasural,-1996.0,134,"Comedy, Drama",6.0,"1,344",David Dhawan,Govinda,Karisma Kapoor,Tabu,David Dhawan Govinda Karisma Kapoor Tabu
12077,Saajan Ka Ghar,-1994.0,153,Drama,4.9,134,Surendra Kumar Bohra,Rishi Kapoor,Juhi Chawla,Deepak Tijori,Surendra Kumar Bohra Rishi Kapoor Juhi Chawla Deepak Tijori
12078,Saajan Ke Liye,-1995.0,0,Romance,6.0,,,,,,   
12079,Saajan Ki Baahon Mein,-1995.0,0,"Drama, Family, Romance",4.1,76,Jayprakkash Shaw,Rishi Kapoor,Raveena Tandon,Sumeet Saigal,Jayprakkash Shaw Rishi Kapoor Raveena Tandon Sumeet Saigal
12080,Saajan Ki Saheli,-1981.0,0,"Family, Drama",5.7,46,Saawan Kumar Tak,Nutan,Rajendra Kumar,Rekha,Saawan Kumar Tak Nutan Rajendra Kumar Rekha
12081,Saajan Mera Chor Hain,-2005.0,0,Drama,6.0,,,,,,   
12082,Saajan Mere Main Saajan Ki,-1980.0,0,"Drama, Romance",5.9,7,Hiren Nag,Raj Babbar,Kaajal Kiran,Raj Kiran,Hiren Nag Raj Babbar Kaajal Kiran Raj Kiran
12083,Saajna,-1991.0,0,"Musical, Romance",6.0,,Rishikesh Pandey,,,,Rishikesh Pandey   
12084,"Saako-363, Amrita Ki Khejadi",-1991.0,0,"Adventure, Drama, History",6.0,,Kalyan Seervi,Sneha Ullal,Milind Gunaji,Brij Gopal,Kalyan Seervi Sneha Ullal Milind Gunaji Brij Gopal
12085,Saala Khadoos,-2016.0,109,"Action, Drama, Sport",7.6,"11,638",Sudha Kongara,Madhavan,Nassar,Radha Ravi,Sudha Kongara Madhavan Nassar Radha Ravi
